n = 10	d = 5
m	faults
1	2100
2	1700
3	1500
4	1500
5	1300
6	1300
7	1300
8	1300
9	1300
10	1300
11	1300
12	1300
13	260
14	260
15	260
16	260
17	260
18	260
19	250
20	250
