n = 10	d = 5
m	faults
1	2100
2	1300
3	1300
4	1300
5	1300
6	1300
7	1300
8	1300
9	1120
10	1120
11	1120
12	1120
13	240
14	240
15	240
16	240
17	240
18	240
19	240
20	240
